p10_annual_orec_exceedance,fixed_rec_price,bid_quantity_mwh,eligibility,renewable_technology,project_name,solicitation_name,generation_type,counterparty,developer_name,article_10_94c_case_number,county_province,project_status,contract_duration,zip_code,state_province,max_annual_contract_quantity,new_renewable_capacity_mw,data_through_date,bid_capacity_mw,georeference,permit_process,installed_energy_storage_energy_capacity_mwhac,energy_storage_power_capacity_mwac,second_article_10_or_94c_case_number,year_of_delivery_start_date,redc,nyiso_zone,index_rec_strike_price,interconnection_queue_number,type_of_existing,transmission_capacity_hvdc_,ptid,federal_permitting_mechanism,article_7
,21.5,74141,Non-Tier 1,Land Based Wind,Hardscrabble Wind Energy Project,1851,,,,,Herkimer,Completed,10,13416,NY,74141,0,2023-01-20T00:00:00.000,26.64,POINT (-75.01815 43.19067),,,,,2011,Mohawk Valley,Mohawk Valley,,,,,,,
,15.5,121508,Non-Tier 1,Land Based Wind,Hardscrabble,1681,,,,,Herkimer,Completed,10,13416,NY,121508,74,2023-01-20T00:00:00.000,43.7,POINT (-75.01815 43.19067),,,,,2011,Mohawk Valley,Mohawk Valley,,,,,,,
,9.99,1399,Non-Tier 1,Hydroelectric,Effley,1168,,,,,Lewis,Completed,10,13327,NY,1399,0.3,2023-01-20T00:00:00.000,0.3,POINT (-75.39118 43.89781),,,,,2009,North Country,Mohawk Valley,,,,,24048,,
,9.97,5643,Non-Tier 1,Hydroelectric,East Norfolk,1037,,,,,St Lawrence,Completed,10,13667,NY,6207.3,0.9,2023-01-20T00:00:00.000,0.9,POINT (-74.98356 44.80086),,,,,2008,North Country,Mohawk Valley,,,,,24057,,
,9,2892,Non-Tier 1,Hydroelectric,Eagle,1037,,,,,Lewis,Completed,10,13327,NY,3181,0.5,2023-01-20T00:00:00.000,0.5,POINT (-75.39118 43.89781),,,,,2008,North Country,Mohawk Valley,,,,,10063,,
,26,19178,Non-Tier 1,Biogas - LFG,DANC,2226,,,,,Jefferson,Completed,10,13682,NY,19178,4.8,2023-01-20T00:00:00.000,4,POINT (-75.94078 43.85022),,,,,2011,North Country,Mohawk Valley,,,,,,,
,8.25,4410,Non-Tier 1,Hydroelectric,Colton,1037,,,,,St Lawrence,Completed,10,13625,NY,4851,0.7,2023-01-20T00:00:00.000,0.7,POINT (-74.94156 44.55449),,,,,2008,North Country,Mohawk Valley,,,,,24057,,
,24.99,6275,Non-Tier 1,Biogas - LFG,Clinton Co.,2389,,,,,Clinton,Completed,10,12962,NY,6275,6.4,2023-01-20T00:00:00.000,1.28,POINT (-73.56636 44.69294),,,,,2012,North Country,North,,,,,,,
,25,11209,Non-Tier 1,Biogas - LFG,Chautauqua LFGE,2226,,,,,Chautauqua,Completed,10,14701,NY,11209,8,2023-01-20T00:00:00.000,2.11,POINT (-79.2378 42.09605),,,,,2011,Western New York,West,,,,,323629,,
,10,324,Non-Tier 1,Hydroelectric,Burt Dam Incremental Hydro,3257,Existing,,,,Niagara,Operational,19,14028,NY,324,0.09,2023-01-20T00:00:00.000,0.08,POINT (-78.71228 43.31645),,,,,2016,Western New York,West,,,Upgrade,,,,
,1.6,978,Non-Tier 1,Hydroelectric,Browns Falls*,916,,,,,St Lawrence,Completed,1,13670,NY,1125,,2023-01-20T00:00:00.000,,POINT (-75.07083 44.18332),,,,,2006,North Country,Mohawk Valley,,,,,,,
,8,1161,Non-Tier 1,Hydroelectric,Browns Falls,1037,,,,,St Lawrence,Completed,10,13670,NY,1277,0.4,2023-01-20T00:00:00.000,0.4,POINT (-75.07083 44.18332),,,,,2008,North Country,Mohawk Valley,,,,,24044,,
,33,324045,Non-Tier 1,Biomass,Black River,2389,,,,,Jefferson,Operational,10,13602,NY,324045,43.26,2023-01-20T00:00:00.000,41.1,POINT (-75.76748 44.03764),,,,,2013,North Country,Mohawk Valley,,,,,23780,,
,25,1900,Non-Tier 1,Hydroelectric,Black Brook,2226,,,,,Clinton,Completed,10,12912,NY,1900,0.64,2023-01-20T00:00:00.000,0.61,POINT (-73.67684 44.44009),,,,,2011,North Country,Mohawk Valley,,,,,,,
,29.95,1264,Non-Tier 1,Fuel Cell,ATT Clean Energy Project - Rego Park,2554,,,,,Queens,Operational,10,11374,NY,1264,0.2,2023-01-20T00:00:00.000,0.19,POINT (-73.86884 40.73194),,,,,2015,New York City,New York City,,,,,,,
,8.5,1523,Non-Tier 1,Hydroelectric,Allens Falls,1037,,,,,St Lawrence,Completed,10,13676,NY,1675,0.3,2023-01-20T00:00:00.000,0.3,POINT (-74.98656 44.66987),,,,,2008,North Country,Mohawk Valley,,,,,24042,,
,14.95,22340,Non-Tier 1,Biogas - LFG,Albany 2,2226,,,,,Albany,Completed,10,12205,NY,22340,3.2,2023-01-20T00:00:00.000,3,POINT (-73.80574 42.71547),,,,,2012,Capital Region,Capital,,,,,323615,,
,13.85,5625,Non-Tier 1,Biogas - LFG,Albany 1,1851,,,,,Albany,Completed,10,12205,NY,5625,0.9,2023-01-20T00:00:00.000,0.86,POINT (-73.80574 42.71547),,,,,2011,Capital Region,Capital,,,,,323615,,
,32.22,6325,Non-Tier 1,Fuel Cell,"401 Fieldcrest Dr. Elmsford, NY 10523",2554,,,,,Westchester,Operational,10,10523,NY,6325,0.8,2023-01-20T00:00:00.000,0.76,POINT (-73.81937 41.05419),,,,,2015,Mid-Hudson,Dunwoodie,,,,,,,
,,42590,Maintenance,Maintenance Hydroelectric,Lyons Falls Hydro,Tier 2 - Maintenance,,"Northbrook Lyons Falls, LLC","Kruger Energy, Inc",,Lewis,Completed,3,13368,NY,42590,,2023-01-20T00:00:00.000,8.59,POINT (-75.36537 43.61971),,,,,2019,North Country,Mohawk Valley,,,,,23570,,
